Frequency [Hz],"Amp_0[dB] 
(P = 0.020 [mbar])","Amp_1[dB] 
(P = 0.020 [mbar])","Amp_2[dB] 
(P = 0.020 [mbar])"
2542000000.0,-78.5,-78.6,-78.6
2543000000.0,-78.4,-78.4,-78.5
2544000000.0,-78.3,-78.3,-78.3
2545000000.0,-78.2,-78.3,-78.1
2546000000.0,-78.1,-78.0,-78.2
2547000000.0,-77.9,-77.9,-78.1
2548000000.0,-77.8,-77.8,-77.8
2549000000.0,-77.7,-77.8,-77.7
2550000000.0,-77.6,-77.5,-77.6
2551000000.0,-77.4,-77.3,-77.3
2552000000.0,-77.1,-77.1,-77.2
2553000000.0,-76.9,-77.0,-76.9
2554000000.0,-76.7,-76.7,-76.7
2555000000.0,-76.5,-76.6,-76.5
2556000000.0,-76.3,-76.2,-76.2
2557000000.0,-76.0,-76.1,-76.0
2558000000.0,-75.6,-75.7,-75.7
2559000000.0,-75.4,-75.6,-75.5
2560000000.0,-75.3,-75.2,-75.2
2561000000.0,-75.0,-75.0,-75.0
2562000000.0,-74.7,-74.7,-75.0
2563000000.0,-74.4,-74.4,-74.4
2564000000.0,-74.3,-74.2,-74.2
2565000000.0,-73.9,-73.9,-73.8
2566000000.0,-73.6,-73.8,-73.6
2567000000.0,-73.4,-73.3,-73.3
2568000000.0,-73.1,-73.1,-73.0
2569000000.0,-72.9,-72.8,-73.0
2570000000.0,-72.6,-72.5,-72.7
2571000000.0,-72.3,-72.3,-72.5
2572000000.0,-72.1,-72.0,-72.0
2573000000.0,-71.8,-71.9,-71.8
2574000000.0,-71.6,-71.6,-71.5
2575000000.0,-71.5,-71.4,-71.3
2576000000.0,-71.2,-71.2,-71.2
2577000000.0,-71.0,-71.0,-71.0
2578000000.0,-71.0,-70.9,-70.9
2579000000.0,-70.8,-70.8,-70.8
2580000000.0,-70.6,-70.6,-70.7
2581000000.0,-70.6,-70.6,-70.7
2582000000.0,-70.5,-70.5,-70.5
2583000000.0,-70.5,-70.5,-70.5
2584000000.0,-70.4,-70.4,-70.5
2585000000.0,-70.5,-70.4,-70.4
2586000000.0,-70.6,-70.4,-70.5
2587000000.0,-70.6,-70.6,-70.6
2588000000.0,-70.7,-70.6,-70.7
2589000000.0,-70.7,-70.8,-70.9
2590000000.0,-70.9,-71.0,-71.0
2591000000.0,-71.2,-71.2,-71.2
2592000000.0,-71.4,-71.4,-71.5
2593000000.0,-71.6,-71.7,-71.8
2594000000.0,-72.0,-71.9,-72.0
2595000000.0,-72.2,-72.2,-72.2
2596000000.0,-72.6,-72.6,-72.6
2597000000.0,-73.0,-73.0,-72.8
2598000000.0,-73.2,-73.3,-73.3
2599000000.0,-73.7,-73.7,-73.5
2600000000.0,-73.7,-73.7,-73.7
2601000000.0,-74.0,-74.0,-74.1
2602000000.0,-74.4,-74.4,-74.3
2603000000.0,-74.8,-74.8,-74.8
2604000000.0,-75.1,-75.0,-75.1
2605000000.0,-75.4,-75.5,-75.3
2606000000.0,-75.6,-75.7,-75.6
2607000000.0,-76.1,-76.0,-76.0
2608000000.0,-76.1,-76.3,-76.3
2609000000.0,-76.4,-76.4,-76.5
2610000000.0,-76.6,-76.9,-76.7
2611000000.0,-76.7,-76.8,-76.8
